Date,Open,High,Low,Close,Adj Close,Volume
12-Nov-24,43.42,44.5,36.37,39.68,39.68,"313,874"
11-Nov-24,45.56,47.5,41.64,44.11,44.11,"232,200"
8-Nov-24,48.75,50.74,44.25,46.62,46.62,"302,800"
7-Nov-24,55.42,55.59,47.73,48.52,48.52,"361,800"
6-Nov-24,57,58,53.23,55.77,55.77,"334,900"
5-Nov-24,50.5,58,50.5,54.08,54.08,"547,900"
4-Nov-24,48.18,54.8,46.25,50.59,50.59,"801,600"
1-Nov-24,47,49.43,46.01,48.18,48.18,"267,400"
31-Oct-24,46.75,50.25,45.5,46.8,46.8,"399,600"
30-Oct-24,42.21,50,40.94,47.39,47.39,"824,600"
29-Oct-24,47,50.77,45,45.02,45.02,"455,500"
28-Oct-24,48.25,52.5,46.67,47.64,47.64,"772,200"
25-Oct-24,50.9,52.75,45.66,48.94,48.94,"946,400"
24-Oct-24,45.51,53.07,45.51,49.5,49.5,"1,164,900"
23-Oct-24,42.02,54.93,42.02,47,47,"1,840,700"
22-Oct-24,42.5,50,41.42,47.17,47.17,"2,261,600"
21-Oct-24,57.65,62.99,44.72,48.02,48.02,"8,983,900"
18-Oct-24,34.6,79.02,34,47.21,47.21,"27,243,100"
17-Oct-24,24.51,26,21.1,21.7,21.7,"2,681,000"
16-Oct-24,27.63,36,21.5,28.8,28.8,"13,548,000"
15-Oct-24,2.62,38.49,2.47,38.49,38.49,"102,757,200"
14-Oct-24,1.11,2.66,1.11,2.49,2.49,"21,504,400"
11-Oct-24,1.06,1.08,1.04,1.08,1.08,"12,500"
10-Oct-24,1.06,1.11,1.05,1.07,1.07,"4,300"
9-Oct-24,1.18,1.18,0.94,1.05,1.05,"42,700"
8-Oct-24,1.15,1.2,1.08,1.08,1.08,"5,500"
7-Oct-24,1.15,1.15,1.1,1.13,1.13,"4,200"
4-Oct-24,1.11,1.16,1.11,1.16,1.16,"1,800"
3-Oct-24,1.09,1.2,1.07,1.09,1.09,"40,500"
2-Oct-24,1.21,1.21,1.08,1.12,1.12,"5,100"
1-Oct-24,1.17,1.21,1.1,1.1,1.1,"8,200"
30-Sep-24,1.24,1.24,1.17,1.17,1.17,"2,800"
27-Sep-24,1.21,1.24,1.2,1.22,1.22,"3,300"
26-Sep-24,1.17,1.25,1.17,1.2,1.2,"5,100"
25-Sep-24,1.23,1.25,1.18,1.18,1.18,"3,600"
24-Sep-24,1.19,1.24,1.18,1.2,1.2,"1,700"
23-Sep-24,1.24,1.24,1.18,1.19,1.19,"10,200"
20-Sep-24,1.24,1.25,1.24,1.25,1.25,"2,200"
19-Sep-24,1.3,1.3,1.15,1.24,1.24,"43,100"
18-Sep-24,1.31,1.31,1.25,1.25,1.25,"7,700"
17-Sep-24,1.27,1.34,1.22,1.29,1.29,"26,600"
16-Sep-24,1.23,1.3,1.18,1.24,1.24,"29,700"
13-Sep-24,1.2,1.4,1.2,1.27,1.27,"11,000"
12-Sep-24,1.23,1.27,1.15,1.25,1.25,"75,100"
11-Sep-24,1.24,1.24,1.16,1.2,1.2,"12,400"
10-Sep-24,1.3,1.4,1.18,1.24,1.24,"48,600"
9-Sep-24,1.14,1.34,1.14,1.2,1.2,"60,200"
6-Sep-24,1.19,1.2,1.1,1.14,1.14,"19,100"
5-Sep-24,1.09,1.19,1.07,1.19,1.19,"45,600"
4-Sep-24,1.07,1.09,1.03,1.09,1.09,"53,500"
3-Sep-24,1.07,1.1,1.02,1.09,1.09,"22,800"
30-Aug-24,1.08,1.08,1.04,1.06,1.06,"25,800"
29-Aug-24,1.05,1.1,1.02,1.04,1.04,"62,200"
28-Aug-24,1.26,1.26,0.99,1.1,1.1,"118,500"
27-Aug-24,1.23,1.29,1.18,1.21,1.21,"233,800"
26-Aug-24,1.28,1.75,1.13,1.36,1.36,"4,654,300"
23-Aug-24,1.06,1.13,1,1.01,1.01,"17,100"
22-Aug-24,1.03,1.11,1,1.03,1.03,"16,300"
21-Aug-24,1.03,1.04,1,1.03,1.03,"4,200"
20-Aug-24,1.01,1.02,0.99,1.01,1.01,"7,200"
19-Aug-24,1.06,1.07,1.02,1.02,1.02,"9,300"
16-Aug-24,1.05,1.07,1.03,1.07,1.07,"4,600"
15-Aug-24,1.05,1.05,1.02,1.03,1.03,"2,900"
14-Aug-24,1.01,1.07,1,1.01,1.01,"9,900"
13-Aug-24,1,1.09,1,1.05,1.05,"10,700"
12-Aug-24,1.08,1.1,1.01,1.1,1.1,"49,700"
